Idx,GeneProbability/KmersHitsOnGene/KmersHitsOnAllGenes/KmersTotal,GeneAnnotation
@>MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@>MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@>MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@>MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@>MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@>MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2,?/?/?/?,?
@>MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_13|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME_errorrate=0.2_2pointsRearrangement,0.98/119/119/134,>MEG_13|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME
@>MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME_errorrate=0.2,1.0/7/7/135,>MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME
@>MEG_15|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME_errorrate=0.2,1.0/24/24/135,>MEG_15|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME
@>MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME_errorrate=0.2,1.0/5/5/135,>MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME
@>MEG_17|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME_errorrate=0.2,1.0/10/10/135,>MEG_17|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME
@random_sequence,?/?/?/?,?
@>MEG_19|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,0.13/118/118/134,>MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,0.24/119/119/134,>MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,?/?/?/?,?
@>MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.83/5/6/135,>MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/4/4/135,>MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,0.11/118/118/134,>MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@random_sequence,?/?/?/?,?
@>MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.13/6/6/135,>MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.11/4/4/135,>MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@random_sequence,?/?/?/?,?
@>MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.12/14/14/135,>MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.37/10/10/135,>MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.35/7/20/135,>MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.5/11/11/135,>MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/12/12/135,>MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.42/8/8/135,>MEG_68|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME
@>MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.25/5/5/135,>MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.34/2/2/135,>MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.5/2/4/135,>MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,?/?/?/?,?
@>MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,0.15/118/118/134,>MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.11/27/27/135,>MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.13/41/41/135,>MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.75/3/4/135,>MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,?/?/?/?,?
@>MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/3/3/135,>MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.5/7/7/135,>MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.44/14/16/135,>MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/7/7/135,>MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.33/33/33/135,>MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_56|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/22/22/135,>MEG_56|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.33/8/8/135,>MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_58|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/5/5/135,>MEG_58|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_59|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.12/5/5/135,>MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.6/32/32/135,>MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2_2pointsRearrangement,0.53/120/120/134,>MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,1.0/4/4/135,>MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.35/11/11/135,>MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3_errorrate=0.2,0.14/24/24/135,>MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@random_sequence,?/?/?/?,?
@>MEG_69|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME_errorrate=0.2,0.25/7/7/135,>MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
